"","SeriesInd","group","Var01","Var02","Var03","Var05","Var07"
"585",41513,"S03",86.5971451428,101680600,85.7857131428,86.4385681428,86.1428604285
"586",41516,"S03",85.4857177142,126536200,83.2857131428,85.4000015713,83.4257125713
"587",41517,"S03",85.2514267142,152749800,83.0328598571,83.5571441428,83.1614304285
"588",41518,"S03",83.9142837142,106847300,82.6942825713,82.8914261428,83.7114257142
"589",41519,"S03",84.4857177142,97637400,82.9000015713,84.3571395713,83.1171417142
"590",41520,"S03",82.6228561428,132498100,80.7385711428,82.4400024285,80.7499999999
"591",41523,"S03",81.8242874285,115029600,80.1757125713,80.2142868571,81.3542861428
"592",41524,"S03",81.6428604285,124313000,79.8185729999,81.3685684285,81.1685714285
"593",41525,"S03",81.9971465713,120176000,80.1214294285,80.5285721428,81.3114318571
"594",41526,"S03",82.2685699999,83300000,81.2057114285,82.0828552856,81.5028534285
"595",41527,"S03",82.0671462856,99886500,80.6214294285,80.7142868571,80.9585724285
"596",41530,"S03",81.0728607142,88156600,79.6571425713,80.3671417142,79.7457122856
"597",41531,"S03",80.4599991428,119084000,78.8214264285,80.2071457142,79.0242844285
"598",41532,"S03",79.5557174285,140224000,77.2914275714,79.1500015713,78.0114288571
"599",41533,"S03",78.2142868571,179305000,75.7314299999,77.9014282856,75.7314299999
"600",41534,"S03",77.6299972856,183073100,74.5971451428,76.2799987142,75.7685699999
"601",41537,"S03",80.2200012856,157776500,76.2928542856,76.3571395714,80.1828537142
"602",41538,"S03",81.9828567142,173717600,78.9400024285,81.3642882856,79.5671462856
"603",41539,"S03",81.8285751428,146224400,79.0328598571,79.6428604285,81.5085678571
"604",41540,"S03",82.3571395713,124057500,80.1757125713,82.2671432856,80.7600021428
"605",41541,"S03",80.8357162856,82126800,79.7814254285,80.6557159999,80.3271408571
"606",41545,"S03",81.9999999999,95127200,80.7585678571,81.5571441428,81.7528534285
"607",41546,"S03",82.8557128571,132357400,80.9371414285,81.3142852856,82.7385711428
"608",41547,"S03",83.0714264285,122918600,81.6371459999,82.9628601428,82.5328598571
"609",41548,"S03",81.8071441428,130246900,80.0742874285,81.3085708571,80.1414261428
"610",41551,"S03",81.0714264285,139248900,78.3571395714,80.2142868571,80.6128539999
"611",41552,"S03",80.9242858571,97053600,79.7614288571,80.1814269999,80.4042892856
"612",41553,"S03",81.9785689999,100363900,80.7857131428,81.1100005713,81.6371459999
"613",41554,"S03",82.4742889999,94941700,81.4999999999,82.4700012856,81.6742858571
"614",41555,"S03",82.9400024285,86879100,81.2857131428,81.6571425713,82.9028548571
"615",41558,"S03",84.0714264285,147816200,81.5185699999,83.9599991428,81.5957107142
"616",41559,"S03",82.3742828571,108845100,80.9571457142,82.0657119999,82.3085708571
"617",41560,"S03",82.6399994285,73395000,81.4828567142,82.0742874285,81.7371444285
